prNumber,prTitle,repo,eip,proposed_status
7519,Update EIP-7201: Move to Last Call,EIPs,7201,Last Call
7517,Update EIP-7329: Move to Last Call,EIPs,7329,Last Call
7515,Update EIP-665: Move to Draft,EIPs,665,Draft
7514,Update EIP-7432: Move to Review,EIPs,7432,Review
7513,"Update EIP-5521: Test cases added, about to move to review",EIPs,5521,Review
7489,Update EIP-4881: Move to Last Call,EIPs,4881,Last Call
7485,Update EIP-5521: Move to Draft,EIPs,5521,Draft
7483,Update EIP-223: Move to Last Call,EIPs,223,Last Call
7470,Update EIP-7329: Move to Review,EIPs,7329,Review
7460,Update EIP-6046: Move to Withdrawn,EIPs,6046,Withdrawn
7451,Update EIP-6780: Move to Review,EIPs,6780,Review
7450,Update EIP-2135: Move to Final,EIPs,2135,Final
7449,Update EIP-998: Move to Review,EIPs,998,Review
7437,Update EIP-6551: Move to Review,EIPs,6551,Review
7421,Update EIP-6982: Move to Review,EIPs,6982,Review
7414,Update EIP-7401: Move to Review,EIPs,7401,Review
7365,Update EIP-7045: Move to Review,EIPs,7045,Review
7360,Update EIP-6475: Move to Draft,EIPs,6475,Draft
7353,Update EIP-7066: Move to Review,EIPs,7066,Review
7352,Update EIP-6963: Move to Review,EIPs,6963,Review
7349,Update EIP-7329: Move to Last Call,EIPs,7329,Last Call
7339,Update EIP-223: Move to Review,EIPs,223,Review
7326,Update EIP-7044: Move to Review,EIPs,7044,Review
7309,Update EIP-6066: Move to Final,EIPs,6066,Final
7298,Update EIP-5202: Move to Final,EIPs,5202,Final
7277,Update EIP-7212: Move to Review,EIPs,7212,Review
7275,Update EIP-6239: Move to Final,EIPs,6239,Final
7271,Update EIP-3643: Move to Review,EIPs,3643,Review
7240,Update EIP-6381: Move to Final,EIPs,6381,Final
7239,Update EIP-7144: Move to Review,EIPs,7144,Review
7225,Update EIP-7199: Move to Withdrawn,EIPs,7199,Withdrawn
7222,Update EIP-7199: Move to Review,EIPs,7199,Review
7218,Update EIP-7053: Move to Review,EIPs,7053,Review
7203,Update EIP-6239: Move to Last Call,EIPs,6239,Last Call
7181,Update EIP-6492: Move to Last Call,EIPs,6492,Last Call
7180,Update EIP-5725: Move to Last Call,EIPs,5725,Last Call
7177,Update EIP-6997: Move to Last Call,EIPs,6997,Last Call
7176,Update EIP-6239: Move to Review,EIPs,6239,Review
7164,Update EIP-3643: Move to Draft,EIPs,3643,Draft
7157,Update EIP-6093: Move to Last Call,EIPs,6093,Last Call
7137,Update EIP-4824: Move to Review,EIPs,4824,Review
7129,Update EIP-6997: Move to Review,EIPs,6997,Review
7128,Update EIP-5169: Move to Final,EIPs,5169,Final
7118,Update EIP-5008: Move to Final,EIPs,5008,Final
7096,Update EIP-6358: Update the implementation examples and Move to Review,EIPs,6358,Review
7094,Update EIP-6122: Move to Review,EIPs,6122,Review
7089,Update EIP-5007: Move to Final,EIPs,5007,Final
7088,Update EIP-6454: Move to Final,EIPs,6454,Final
7079,Update EIP-6809: Move to Review,EIPs,6809,Review
7078,Update EIP-6808: Move to Review,EIPs,6808,Review
7073,Update EIP-6953: Move to Review,EIPs,6953,Review
7068,Update EIP-5570: Move to Final,EIPs,5570,Final
7061,Update EIP-6066: Move to Last Call,EIPs,6066,Last Call
7034,Update EIP-6963: Move to Review,EIPs,6963,Review
7029,Update EIP-6672: Move to Final,EIPs,6672,Final
7022,Update EIP-5615: Move to Final,EIPs,5615,Final
7021,Update EIP-5507: Move to Final,EIPs,5507,Final
7006,Update EIP-3026: Move to Draft,EIPs,3026,Draft
6991,Update EIP-6953: Move to Review,EIPs,6953,Review
6973,Update EIP-6065: Move to Review,EIPs,6065,Review
6970,Update EIP-1185: Move to Review,EIPs,1185,Review
6966,Update EIP-5570: Move to Last Call,EIPs,5570,Last Call
6949,Update EIP-6672: Move to Last Call,EIPs,6672,Last Call
6947,Update EIP-6493: Move to Review,EIPs,6493,Review
6946,Update EIP-6475: Move to Review,EIPs,6475,Review
6940,Update EIP-6105: Move to Final,EIPs,6105,Final
6938,Update EIP-5169: Move to Last Call,EIPs,5169,Last Call
6930,Update EIP-5008: Move to Last Call,EIPs,5008,Last Call
6925,Update EIP-5656: Move to Review,EIPs,5656,Review
6919,Update EIP-5725: Move to Review,EIPs,5725,Review
6911,Update EIP-6224: Move to Review,EIPs,6224,Review
6905,Update EIP-3860: Move to Final,EIPs,3860,Final
6904,Update EIP-3855: Move to Final,EIPs,3855,Final
6903,Update EIP-3651: Move to Final,EIPs,3651,Final
6902,Update EIP-4895: Move to Final,EIPs,4895,Final
